-7.3776	107.8204
-7.3427	107.8016
-7.4273	107.8305
-7.3689	107.7599
-7.249	107.8822
-7.2439	107.9073
-7.2792	107.9195
-7.2424	107.8917
-7.2571	107.9056
-7.2491	107.907
-7.2425	107.8918
-7.2488	107.8822
-7.3263	107.9368
-7.2488	107.8828
-7.2331	107.9061
-7.3822	107.5109
-7.3108	107.51
-7.3368	107.5033
-7.3858	107.5145
-7.5519	107.8092
-7.5593	107.7985
-7.5506	107.8138
-7.3111	107.7915
-7.3069	107.7962
-7.3318	107.7937
-7.3234	107.7934
-7.3112	107.7915
-7.31	107.7913
-7.225012	107.9048
-7.2155	107.9008
-7.237542	107.898955
-7.2204792	107.9069988
-7.214388	107.897765
-7.195478	107.910345
-7.214375	107.897702
-7.195462	107.910388
-7.214388	107.897765
-7.2245	107.9
-7.2235	107.9073
-7.2185	107.9018
-7.226023	107.911977
-7.226208	107.912128
-7.0809	107.8998
-7.0763	107.897
-7.0808	107.8979
-7.0853	107.8753
-7.0902	107.8994
-7.0853	107.8753
-7.077	107.855
-7.4869	107.5112
-7.1118	107.8957
-7.1132	107.8979
-7.0713	107.8484
-7.1194	107.8976
-7.1039	107.899
-7.0834	107.961
-7.1076	107.9526
-7.0606	108.088
-7.0576	108.0882
-7.0225	108.0919
-7.4177	107.7156
-7.449	107.6907
-7.6650219	107.6997246
-7.6403	107.7339
-7.3782	107.7255
-7.2735	107.537
-7.1926	107.8852
-7.1691	107.8966
-7.1693	107.8967
-7.204528	107.890032
-7.206532	107.891428
-7.192175	107.904997
-6.4144	107.9576
-6.3455	107.9549
-6.362	107.9541
-6.4129	107.9617
-6.3425	107.9557
-6.415	107.9573
-6.4094	107.96
-6.5694	107.9017
-6.4604	107.938
-6.4606	107.9427
-6.4596077	107.9438312
-6.4351	107.9473
-6.4608	107.9382
-6.3687	108.3232
-6.3572	108.3255
-6.3769	108.3142
-6.3634	108.3266
-6.3765	108.3151
-6.3632	108.3261
-6.4754	108.3054
-6.4771	108.3077
-6.4751	108.3178
-6.4706	108.3012
-6.4427	108.3025
-6.4768	108.3096
-6.4704	108.301
-6.4078	108.3024
-6.4649	108.4529
-6.4672	108.4455
-6.4699	108.4187
-6.4662	108.4261
-6.4839	108.3877
-6.4847	108.4253
-6.4781	108.3947
-6.399	108.1675
-6.4222	108.168
-6.3978	108.1674
-6.3183	107.9871
-6.3322	107.9671
-6.3291	107.9737
-6.4772	108.3304
-6.474	108.3316
-6.4768	108.3448
-6.4598	108.1645
-6.6354	108.0397
-6.5111	108.1329
-6.5175	108.1265
-6.467	108.1606
-6.5538	108.2812
-6.5914	108.2868
-6.5963	108.2862
-6.0705	107.1708
-6.0788	107.1774
-6.0987	107.2337
-6.0915	107.2088
-6.0629	107.1579
-6.0856	107.1928
-6.0834	107.1946
-6.0981	107.2132
-6.0879	107.1928
-6.1547	107.3043
-6.1126	107.2723
-6.1167	107.2719
-6.2725	107.2718
-6.2459	107.2769
-6.2305	107.2833
-6.3079	107.3223
-6.3096	107.3186
-6.305441	107.32483
-6.3708	107.3735
-6.4522	107.3805
-6.4615	107.3835
-6.380556	107.372222
-6.4673	107.215
-6.4923	107.1777
-6.4237	107.2137
-6.4484	107.2125
-6.213	107.2982
-6.1289	107.2828
-6.2032	107.3011
-6.1631	107.2968
-6.3426	107.2442
-6.3398	107.2594
-6.3392	107.2545
-6.356829	107.231739
-6.3642	107.2267
-6.3391	107.3094
-6.0956	107.2096
-6.9725	108.5807
-7.0526	108.7471
-6.9807	108.6179
-6.974	108.6512
-6.9414	108.697
-6.9666	108.6657
-6.8801	108.4748
-7.0217	108.6715
-7.0386	108.6981
-7.0406	108.7023
-6.941	108.5358
-6.9544	108.5527
-6.9306	108.5033
-6.97	108.5114617
-6.9731	108.5157
-6.9709	108.4994
-6.9699	108.5113
-6.9677083	108.4872283
-6.9706	108.4948
-6.9989	108.5806
-7.0157	108.6095
-7.0139	108.6051
-7.0137	108.6238
-7.019829	108.641358
-6.7968	108.4745
-6.8092	108.4691
-6.8209	108.477
-6.9729	108.5319
-6.9733	108.5323
-6.9821	108.5467
-6.9587	108.3097
-6.9644	108.2372
-6.8537683	108.2630033
-6.82874	108.2685133
-6.6455	108.2303
-6.6405	108.2469
-6.6405	108.2468
-6.7629	108.1699
-6.7635	108.1668
-6.7572	108.1633
-6.7592	108.1678
-6.6639	108.1966
-6.7098	108.1766
-6.7255	108.1691
-6.6811	108.1877
-6.9844	108.2048
-6.9802	108.2126
-6.9898	108.2
-6.9739	108.1756
-6.9831	108.2054
-6.7679	108.334
-6.7333	108.35
-6.7206	108.3531
-6.7296	108.3516
-6.885	108.3018
-6.8711	108.2878
-6.9306	108.2998
-6.916	108.3015
-6.831995	108.2127533
-6.8595	108.2707
-6.835345	108.22156
-6.8337017	108.2271183
-6.8325	108.2206
-6.835535	108.230005
-6.8352517	108.2408433
-6.823	108.1989
-6.8058	108.1879
-6.7874	108.3358
-6.7872	108.3356
-6.7873	108.3357
-6.7635	108.1668
-6.7792	108.3975
-6.7993	108.2983
-6.701	108.3629
-7.001	108.3299
-6.9819	108.3104
-6.981	108.3104
-6.9836	108.3058
-7.7255	108.4899
-7.7278	108.4721
-7.6462	108.7523
-7.6451	108.7529
-6.4851	107.3925
-6.485	107.3926
-6.5075	107.4212
-6.4967	107.4045
-6.4954	107.4024
-6.5134	107.4677
-6.5133	107.4808
-6.4959	107.5057
-6.5099	107.4832
-6.4936	107.5168
-6.5046	107.5501
-6.5306	107.4162
-6.5461	107.4271
-6.5644	107.4626
-6.5854	107.4722
-6.5689	107.4588
-6.5757	107.4713
-6.5869	107.4702
-6.5606	107.4477
-6.5139	107.4652
-6.5613	107.45
-6.5367	107.4419
-6.5672	107.4518
-6.5363	107.4374
-6.6386	107.5232
-6.6828	107.559
-6.6825	107.5552
-6.6823	107.5574
-6.4178	107.788
-6.4172	107.7877
-6.4025	107.7946
-6.4089	107.7943
-6.3467	107.6611
-6.3516	107.6625
-6.3402	107.6601
-6.7349	107.6525
-6.7229	107.6634
-6.715605	107.668584
-6.56	107.81
-6.5586	107.8203
-6.5702	107.8469
-6.6122	107.7318
-6.619	107.7258
-6.6428	107.7249
-6.5029	107.5814
-6.716	107.7639
-6.7154	107.764
-6.7181	107.7648
-6.7067	107.749
-6.5463	107.6932
-6.5398	107.7154
-6.5462	107.6933
-6.6775	107.688
-6.6775	107.688
-6.6509	107.7206
-6.6898	107.6743
-6.6774	107.6876
-6.6528	107.7179
-6.6775	107.688
-6.5267	107.6849
-6.5153	107.6639
-6.5268	107.6851
-6.7005	107.7391
-6.6965	107.738
-6.4553	107.8144
-6.442	107.7833
-6.4678	107.8105
-6.3204	107.8229
-6.3566	107.6639
-6.3649	107.6609
-6.4344	107.688
-6.4465	107.688
-6.4447	107.6879
-6.4299	107.6874
-6.4744	107.6897
-6.6745	107.6536
-6.6698	107.6547
-6.6745	107.6535
-6.6654	107.6062
-6.5524	107.7397
-6.5645	107.7653
-6.5644	107.765
-6.5643	107.7647
-6.5532	107.7527
-6.558	107.7641
-6.557	107.7681
-6.5644	107.7651
-6.558277	107.765009
-6.3231	107.8228
-6.3247	107.8227
-6.7594	107.8325
-6.879762	106.776651
-6.874888	106.737286
-6.874892	106.760947
-7.2033	106.4806
-7.1455	106.4836
-7.1968	106.4619
-6.9595083	106.7743217
-6.96394	106.7943267
-6.955485	106.7678033
-6.9704323	106.8096516
-6.969913	106.792095
-7.3566	106.4522
-6.925948	106.893262
-6.905893	106.465089
-6.898356	106.464101
-6.9343	106.4703
-6.901358	106.464343
-6.856509	106.44782
-6.97794	106.8534933
-6.9392944	106.9062991
-6.9712	106.8675
-6.9669267	106.8679617
-6.9712767	106.85952
-7.114076	106.745585
-7.0577	106.8023
-7.007644	106.799167
-6.923778	106.958003
-7.132118	106.692032
-7.118203	106.755881
-6.990547	106.959504
-7.018768	106.954731
-7.006084	106.965234
-7.028849	106.938893
-6.987674	106.562041
-6.9884	106.5564
-6.952071	106.5824
-6.987693	106.560003
-7.057	106.8964
-7.101042	106.879227
-7.0472	106.9032
-7.216207	106.883284
-7.217102	106.886816
-7.158457	106.879541
-7.090522	106.513283
-6.921	106.9603
-7.362871	106.54195
-7.332825	106.573763
-7.343824	106.557801
-7.219679	106.590594
-7.232035	106.573921
-7.203504	106.609768
-6.8722	108.0366
-6.876	108.035
-6.8639	108.0332
-6.8856	108.0364
-6.9171	108.075
-6.9201	108.0754
-6.9185	108.0727
-6.9692	108.1681
-6.9474	108.1192
-6.876	107.8318
-6.9232	107.8305
-6.9004	107.8322
-6.82	107.8699
-6.8336	107.8356
-6.8227	107.8444
-6.8649	107.8357
-6.7943	107.8553
-6.8387	108.0185
-6.8405	108.0187
-6.8449	108.029
-6.8637	107.8962
-6.8635	107.8963
-6.852	107.9
-6.8369	107.9295
-6.781	107.8536
-6.7681	107.8435
-7.5692	108.1807
-7.4928	108.19
-7.595	108.1617
-7.5387	108.1782
-7.5858	108.1597
-7.5163	108.1823
-7.5511	108.1779
-7.6446	108.0868
-7.6465	108.083
-7.682	108.0494
-7.7328	108.0211
-7.6371	108.1321
-7.1244	108.1457
-7.3182	108.2002
-7.6263	108.1338
-7.6244	108.1369
-7.6269	108.134
-7.6191	108.1394
-7.6371	108.1321
